launch_id,launch_time_utc,Location,Status Mission,label_prelim,Datum,latitude,longitude
0,2020-08-07 05:12:00+00:00,"LC-39A, Kennedy Space Center, Florida, USA",Success,OK,"Fri Aug 07, 2020 05:12 UTC",28.572872,-80.64898
1,2020-08-06 04:01:00+00:00,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success,OK,"Thu Aug 06, 2020 04:01 UTC",40.96,100.298
2,2020-08-04 23:57:00+00:00,"Pad A, Boca Chica, Texas, USA",Success,OK,"Tue Aug 04, 2020 23:57 UTC",25.997,-97.156
3,2020-07-30 21:25:00+00:00,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Thu Jul 30, 2020 21:25 UTC",45.9647,63.305
4,2020-07-30 11:50:00+00:00,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,OK,"Thu Jul 30, 2020 11:50 UTC",28.396837,-80.605659
5,2020-07-25 03:13:00+00:00,"LC-9, Taiyuan Satellite Launch Center, China",Success,OK,"Sat Jul 25, 2020 03:13 UTC",38.849,111.608
6,2020-07-23 14:26:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Thu Jul 23, 2020 14:26 UTC",45.9647,63.305
7,2020-07-23 04:41:00+00:00,"LC-101, Wenchang Satellite Launch Center, China",Success,OK,"Thu Jul 23, 2020 04:41 UTC",19.6144,110.9512
8,2020-07-20 21:30:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Mon Jul 20, 2020 21:30 UTC",28.396837,-80.605659
9,2020-07-19 21:58:00+00:00,"LA-Y1, Tanegashima Space Center, Japan",Success,OK,"Sun Jul 19, 2020 21:58 UTC",30.401,130.976
10,2020-07-15 13:46:00+00:00,"LP-0B, Wallops Flight Facility, Virginia, USA",Success,OK,"Wed Jul 15, 2020 13:46 UTC",37.8337,-75.4881
11,2020-07-10 04:17:00+00:00,"Site 95, Jiuquan Satellite Launch Center, China",Failure,Atrasado,"Fri Jul 10, 2020 04:17 UTC",40.96,100.298
12,2020-07-09 12:11:00+00:00,"LC-3, Xichang Satellite Launch Center, China",Success,OK,"Thu Jul 09, 2020 12:11 UTC",28.246,102.026
13,2020-07-06 01:00:00+00:00,"Pad 1, Palmachim Airbase, Israel",Success,OK,"Mon Jul 06, 2020 01:00 UTC",31.887,34.692
14,2020-07-04 23:44:00+00:00,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success,OK,"Sat Jul 04, 2020 23:44 UTC",40.96,100.298
15,2020-07-04 21:19:00+00:00,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Failure,Atrasado,"Sat Jul 04, 2020 21:19 UTC",,
16,2020-07-03 03:10:00+00:00,"LC-9, Taiyuan Satellite Launch Center, China",Success,OK,"Fri Jul 03, 2020 03:10 UTC",38.849,111.608
17,2020-06-30 20:10:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Tue Jun 30, 2020 20:10 UTC",28.396837,-80.605659
18,2020-06-23 01:43:00+00:00,"LC-2, Xichang Satellite Launch Center, China",Success,OK,"Tue Jun 23, 2020 01:43 UTC",28.246,102.026
19,2020-06-17 07:19:00+00:00,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success,OK,"Wed Jun 17, 2020 07:19 UTC",40.96,100.298
20,2020-06-13 09:21:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Sat Jun 13, 2020 09:21 UTC",28.396837,-80.605659
21,2020-06-13 05:12:00+00:00,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Success,OK,"Sat Jun 13, 2020 05:12 UTC",,
22,2020-06-10 18:31:00+00:00,"LC-9, Taiyuan Satellite Launch Center, China",Success,OK,"Wed Jun 10, 2020 18:31 UTC",38.849,111.608
23,2020-06-04 01:25:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Thu Jun 04, 2020 01:25 UTC",28.396837,-80.605659
24,2020-05-31 08:53:00+00:00,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success,OK,"Sun May 31, 2020 08:53 UTC",40.96,100.298
25,2020-05-30 19:22:00+00:00,"LC-39A, Kennedy Space Center, Florida, USA",Success,OK,"Sat May 30, 2020 19:22 UTC",28.572872,-80.64898
26,2020-05-29 20:13:00+00:00,"Xichang Satellite Launch Center, China",Success,OK,"Fri May 29, 2020 20:13 UTC",28.246,102.026
27,2020-05-25 19:50:00+00:00,"Cosmic Girl, Mojave Air and Space Port, California, USA",Failure,Atrasado,"Mon May 25, 2020 19:50 UTC",,
28,2020-05-22 07:31:00+00:00,"Site 43/4, Plesetsk Cosmodrome, Russia",Success,OK,"Fri May 22, 2020 07:31 UTC",62.9256,40.577
29,2020-05-20 17:31:00+00:00,"LA-Y2, Tanegashima Space Center, Japan",Success,OK,"Wed May 20, 2020 17:31 UTC",30.401,130.976
30,2020-05-17 13:14:00+00:00,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,OK,"Sun May 17, 2020 13:14 UTC",28.396837,-80.605659
31,2020-05-12 01:16:00+00:00,"Site 95, Jiuquan Satellite Launch Center, China",Success,OK,"Tue May 12, 2020 01:16 UTC",40.96,100.298
32,2020-05-05 10:00:00+00:00,"LC-101, Wenchang Satellite Launch Center, China",Success,OK,"Tue May 05, 2020 10:00 UTC",19.6144,110.9512
33,2020-04-25 01:51:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Sat Apr 25, 2020 01:51 UTC",45.9647,63.305
34,2020-04-22 19:30:00+00:00,"LC-39A, Kennedy Space Center, Florida, USA",Success,OK,"Wed Apr 22, 2020 19:30 UTC",28.572872,-80.64898
35,2020-04-22 03:59:00+00:00,"Launch Plateform, Shahrud Missile Test Site",Success,OK,"Wed Apr 22, 2020 03:59 UTC",,
36,2020-04-09 11:46:00+00:00,"LC-2, Xichang Satellite Launch Center, China",Failure,Atrasado,"Thu Apr 09, 2020 11:46 UTC",28.246,102.026
37,2020-04-09 08:05:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Thu Apr 09, 2020 08:05 UTC",45.9647,63.305
38,2020-03-26 20:18:00+00:00,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,OK,"Thu Mar 26, 2020 20:18 UTC",28.396837,-80.605659
39,2020-03-24 03:43:00+00:00,"LC-3, Xichang Satellite Launch Center, China",Success,OK,"Tue Mar 24, 2020 03:43 UTC",28.246,102.026
40,2020-03-21 17:06:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Sat Mar 21, 2020 17:06 UTC",45.9647,63.305
41,2020-03-18 12:16:00+00:00,"LC-39A, Kennedy Space Center, Florida, USA",Success,OK,"Wed Mar 18, 2020 12:16 UTC",28.572872,-80.64898
42,2020-03-16 18:28:00+00:00,"Site 43/4, Plesetsk Cosmodrome, Russia",Success,OK,"Mon Mar 16, 2020 18:28 UTC",62.9256,40.577
43,2020-03-16 13:34:00+00:00,"LC-201, Wenchang Satellite Launch Center, China",Failure,Atrasado,"Mon Mar 16, 2020 13:34 UTC",19.6144,110.9512
44,2020-03-09 11:55:00+00:00,"LC-2, Xichang Satellite Launch Center, China",Success,OK,"Mon Mar 09, 2020 11:55 UTC",28.246,102.026
45,2020-03-07 04:50:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Sat Mar 07, 2020 04:50 UTC",28.396837,-80.605659
46,2020-02-20 08:24:00+00:00,"Site 43/3, Plesetsk Cosmodrome, Russia",Success,OK,"Thu Feb 20, 2020 08:24 UTC",62.9256,40.577
47,2020-02-19 21:07:00+00:00,"LC-3, Xichang Satellite Launch Center, China",Success,OK,"Wed Feb 19, 2020 21:07 UTC",28.246,102.026
48,2020-02-18 22:18:00+00:00,"ELA-3, Guiana Space Centre, French Guiana, France",Success,OK,"Tue Feb 18, 2020 22:18 UTC",,
49,2020-02-17 15:05:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Mon Feb 17, 2020 15:05 UTC",28.396837,-80.605659
50,2020-02-15 20:21:00+00:00,"LP-0A, Wallops Flight Facility, Virginia, USA",Success,OK,"Sat Feb 15, 2020 20:21 UTC",37.8337,-75.4881
51,2020-02-10 04:03:00+00:00,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,OK,"Mon Feb 10, 2020 04:03 UTC",28.396837,-80.605659
52,2020-02-09 15:48:00+00:00,"Imam Khomeini Spaceport, Semnan Space Center, Iran",Failure,Atrasado,"Sun Feb 09, 2020 15:48 UTC",,
53,2020-02-09 01:34:00+00:00,"LA-Y1, Tanegashima Space Center, Japan",Success,OK,"Sun Feb 09, 2020 01:34 UTC",30.401,130.976
54,2020-02-06 21:42:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Thu Feb 06, 2020 21:42 UTC",45.9647,63.305
55,2020-01-31 02:56:00+00:00,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Success,OK,"Fri Jan 31, 2020 02:56 UTC",,
56,2020-01-29 14:06:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Wed Jan 29, 2020 14:06 UTC",28.396837,-80.605659
57,2020-01-19 15:30:00+00:00,"LC-39A, Kennedy Space Center, Florida, USA",Success,OK,"Sun Jan 19, 2020 15:30 UTC",28.572872,-80.64898
58,2020-01-16 21:05:00+00:00,"ELA-3, Guiana Space Centre, French Guiana, France",Success,OK,"Thu Jan 16, 2020 21:05 UTC",,
59,2020-01-16 03:02:00+00:00,"Site 95, Jiuquan Satellite Launch Center, China",Success,OK,"Thu Jan 16, 2020 03:02 UTC",40.96,100.298
60,2020-01-15 02:53:00+00:00,"LC-9, Taiyuan Satellite Launch Center, China",Success,OK,"Wed Jan 15, 2020 02:53 UTC",38.849,111.608
61,2020-01-07 15:20:00+00:00,"LC-2, Xichang Satellite Launch Center, China",Success,OK,"Tue Jan 07, 2020 15:20 UTC",28.246,102.026
62,2020-01-07 02:19:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Tue Jan 07, 2020 02:19 UTC",28.396837,-80.605659
63,2019-12-27 12:45:00+00:00,"LC-101, Wenchang Satellite Launch Center, China",Success,OK,"Fri Dec 27, 2019 12:45 UTC",19.6144,110.9512
64,2019-12-26 23:11:00+00:00,"Site 133/3, Plesetsk Cosmodrome, Russia",Success,OK,"Thu Dec 26, 2019 23:11 UTC",62.9256,40.577
65,2019-12-24 12:03:00+00:00,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Tue Dec 24, 2019 12:03 UTC",45.9647,63.305
66,2019-12-20 11:36:00+00:00,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,OK,"Fri Dec 20, 2019 11:36 UTC",28.396837,-80.605659
67,2019-12-20 03:22:00+00:00,"LC-9, Taiyuan Satellite Launch Center, China",Success,OK,"Fri Dec 20, 2019 03:22 UTC",38.849,111.608
68,2019-12-18 08:54:00+00:00,"ELS, Guiana Space Centre, French Guiana, France",Success,OK,"Wed Dec 18, 2019 08:54 UTC",,
69,2019-12-17 00:10:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Tue Dec 17, 2019 00:10 UTC",28.396837,-80.605659
70,2019-12-16 07:22:00+00:00,"LC-3, Xichang Satellite Launch Center, China",Success,OK,"Mon Dec 16, 2019 07:22 UTC",28.246,102.026
71,2019-12-11 17:55:00+00:00,"Blue Origin Launch Site, West Texas, Texas, USA",Success,OK,"Wed Dec 11, 2019 17:55 UTC",,
72,2019-12-11 09:55:00+00:00,"First Launch Pad, Satish Dhawan Space Centre, India",Success,OK,"Wed Dec 11, 2019 09:55 UTC",,
73,2019-12-11 08:54:00+00:00,"Site 43/3, Plesetsk Cosmodrome, Russia",Success,OK,"Wed Dec 11, 2019 08:54 UTC",62.9256,40.577
74,2019-12-07 08:52:00+00:00,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success,OK,"Sat Dec 07, 2019 08:52 UTC",40.96,100.298
75,2019-12-07 02:55:00+00:00,"Taiyuan Satellite Launch Center, China",Success,OK,"Sat Dec 07, 2019 02:55 UTC",38.849,111.608
76,2019-12-06 09:34:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Fri Dec 06, 2019 09:34 UTC",45.9647,63.305
77,2019-12-06 08:18:00+00:00,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Success,OK,"Fri Dec 06, 2019 08:18 UTC",,
78,2019-12-05 17:29:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Thu Dec 05, 2019 17:29 UTC",28.396837,-80.605659
79,2019-11-27 23:52:00+00:00,"LC-9, Taiyuan Satellite Launch Center, China",Success,OK,"Wed Nov 27, 2019 23:52 UTC",38.849,111.608
